city,latitude,longitude,id,year,imgUrl,imgCaption
"Oakland, CA",37.8044,-122.2708,43,2015,1.jpg,"Oakland is a city in Alameda County, California. The population is 390,724 and 20.5% live below the poverty level."
"Fort Bragg, CA",39.4458,-123.8053,44,2015,2.jpg,"Fort Bragg is a city in Mendocino County, California. The population is 7,273 and 23.5% live below the poverty level."
"Coos Bay, OR",46.2395793,-119.1005657,45,2015,3.jpg,"Salmon run. Coos Bay is a city in Coos County, Oregon. The population is 15,967 and 21.2% live below the poverty level."
"Pasco, WA",46.2395793,-119.1005657,46,2015,4.jpg,"Pasco is a city in Franklin County, Washington. The population is 59,781 and 21.5% live below the poverty level."
"Clarkston, WA",46.4162724,-117.0451581,47,2015,5.jpg,"Clarkston is a city in Asotin County, Washington. The population is 7,229 and 22.4% live below the poverty level."
"Walkerville, MT",47.141,-111.889,48,2015,6.jpg,"Walkerville is a town in Silver Bow County, Montana. The population is 675 and 39.4% live below the poverty level."
"Chinook, MT",48.5901319,-109.2318231,49,2015,7.jpg,"Chinook is a city in Blaine County, Montana. The population is 1,203 and 20.1% live below the poverty level."
"Wolf Point, MT",48.0905736,-105.6405566,50,2015,8.jpg,"Wolf Point is a city in Roosevelt County, Montana. The population is 2,621 and 21.6% live below the poverty level."
"Glendive, MT",47.1052899,-104.7124597,51,2015,9.jpg,"Glendive is a city in Dawson County, Montana. The population is 4,935 and 20.0% live below the poverty level."
"White Earth, ND",48.38,-102.77,52,2015,10.jpg,"White Earth is a town in Mountrail County, North Dakota. The population is 80 and 43.9% live below the poverty level."
"Fort Yates, ND",46.092,-100.628,53,2015,11.jpg,"Fort Yates is a town in Sioux County, North Dakota. The population is 2,386 and 44.3% live below the poverty level."
"Little Eagle, SD",45.6847,-100.8014,54,2015,12.jpg,"Little Eagle is a town in Corson County, South Dakota. The population is 319 and 51.4% live below the poverty level."
"Hosmer, SD",45.5772,-99.4739,55,2015,13.jpg,"Empty farmhouse. Hosmer is a town in Edmunds County, South Dakota. The population is 208 and 28.2% live below the poverty level."
"Willmar, MN",45.1219075,-95.0433424,56,2015,14.jpg,"Willmar is a city in Kandiyohi County, Minnesota. The population is 19,610 and 22.1% live below the poverty level."
"Duluth, MN",46.7804,-92.117,57,2015,15.jpg,"Duluth is a city in St. Louis County, Minnesota. The population is 86,265 and 22.1% live below the poverty level."
"Ironwood, MI",46.4559,-90.159,58,2015,16.jpg,"Ironwood is a city in Gogebic County, Michigan. The population is 5,387 and 27.2% live below the poverty level."
"Calumet, MI",47.24722222,-88.45444444,59,2015,17.jpg,"Calumet is a town in Houghton County, Michigan. The population is 6,489 and 21.4% live below the poverty level."
"Grayling, MI",44.6632,-84.71,60,2015,18.jpg,"Grayling is a city is Crawford County, MI. The population is 1,884 and 32.7% live below the poverty level."
"Saginaw, MI",43.4209,-83.95,61,2015,19.jpg,"Saginaw is a city in Saginaw County, Michigan. The population is 51,508 and 37.4% live below the poverty level."
"Flint, MI",43.01,-83.6,62,2015,20.jpg,"Searching for scrap metal. Flint is a city in Genesee County, Michigan. The population is 102,434 and 41.5% live below the poverty level."
"Detroit, MI",42.3314,-83.045,63,2015,21.jpg,"Closed school. Detroit is a city in Wayne, County, Michigan. The population is 713,777 and 39.3% live below the poverty level."
"Toledo, OH",41.6657,-83.575,64,2015,22.jpg,"Toledo is a city in Lucas County, Ohio. The population is 287,208 and 27.2% live below the poverty level."
"Cleveland, OH",41.4823,-81.669,65,2015,23.jpg,"Cleveland is a city in Cuyahoga County, Ohio. The population is 396,815 and 35.4% live below the poverty level."
"Erie, PA",42.1145,-80.076,66,2015,24.jpg,"Pistolvania. Erie is a city in Erie County, Pennsylvania. The population is 101,786 and 27.8% live below the poverty level."
"Buffalo, NY",42.9047,-78.849,67,2015,25.jpg,"Shuttered train terminal. Buffalo is a city in Erie County, New York. The population is 261,310 and 30.7% live below the poverty level."
"Syracuse, NY",43.04694444,-76.14444444,68,2015,26.jpg,"Syracuse is a city in Onondaga, New York. The population is 145,170 and 34.6% live below the poverty level."
"Burlington, VT",44.4847,-73.223,69,2015,27.jpg,"Burlington is a city in Chittendon County, Vermont. The population is 42,417 and 25.1% live below the poverty level."
"Troy, NY",42.7383,-73.68,70,2015,28.jpg,"Troy is a city in Rensselaer County, New York. The population is 50,129 and 28.3% live below the poverty level."
"Binghamton, NY",42.10222222,-75.91166666,71,2015,29.jpg,"Courthouse. Binghamton is a city in Broome County, New York. The population is 47,376 and 33.3% live below the poverty level."
"Scranton, PA",41.41055556,-75.667,72,2015,30.jpg,"Scranton is a city in Lackawanna County, Pennsylvania. The population is 76,089 and 20.5% live below the poverty level."
"Allentown, PA",40.6017,-75.477,73,2015,31.jpg,"Allentown is a city in Lehigh County, Pennsylvania. The population is 118,032 27.8% live below the poverty level."
"Camden, NJ",39.9372,-75.106,74,2015,32.jpg,"Memorial. Camden is a city in Camden County, New Jersey. The population is 77,344 and 39.8% live below the poverty level."
"Reading, PA",40.3417,-75.926,75,2015,33.jpg,"Shuttered factory. Reading is a city in Berks County, Pennsylvania. The population is 88,082 and 38.7% live below the poverty level."
"York, PA",39.9627,-76.72,76,2015,34.jpg,"York is a town in York County, Pennsylvania. The population is 43,718 and 37.1% live below the poverty level."
"Baltimore, MD",39.2903,-76.612,77,2015,35.jpg,"I saw Freddie Gray being arrested. He was right there. He kept saying 'Why you breaking my leg?' It wasn't about race. It was about authority. Baltimore is a city in Maryland. The population is 620,961 and 23.8% live below the poverty level."
